,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,comp_name,region,country,season_start_year,squad,player_num,player_name_x,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url,matched_player_name,minutes_played,player_name_y,headed_xg,regular_shots_xg,xg_total,xg_p90,total_goals,goals_p90,difference,total_shots,shots_p90,total_take_ons,take_ons_p90,total_carries,carries_p90,total_crosses_attempted,crosses_attempted_p90,total_assists,assists_p90,total_key_passes,key_passes_p90,total_xA,xA_p90
0,5,4613,4614,Premier League,Europe,England,2016,Chelsea FC,16,Kenedy,Left Winger,1996-02-08,20.0,Brazil,US Sassuolo,1.82,left,2015-08-22,FC Porto,0,7000000.0,https://www.transfermarkt.com/kenedy/profil/spieler/281404,Robert Kenedy Nunes do Nascimento,544,Robert Kenedy Nunes do Nascimento,0.0,3.8397827,3.83978271484375,0.6352581697351792,1.0,0.16544117647058823,-2.83978271484375,13.0,2.1507352941176467,34.0,5.625,302.0,49.96323529411765,10.0,1.6544117647058825,0.0,0.0,5.0,0.8272058823529412,0.2047453485429287,0.03387331133982276
1,10,4696,4697,Premier League,Europe,England,2016,Arsenal FC,17,Alex Iwobi,Left Winger,1996-05-03,20.0,Nigeria,Montpellier HSC,1.83,right,2015-07-01,Deportivo Saprissa,2022-06-30,10000000.0,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631,Alex Iwobi,639,Alex Iwobi,0.032306331957439434,2.7569282,2.789234537447552,0.3928499348517679,2.0,0.28169014084507044,-0.7892345374475518,15.0,2.112676056338028,19.0,2.676056338028169,389.0,54.7887323943662,8.0,1.1267605633802817,2.0,0.28169014084507044,10.0,1.4084507042253522,1.7201373022980988,0.24227285947860547
2,24,4894,4895,Premier League,Europe,England,2016,Crystal Palace,31,Jeffrey Schlupp,Left Midfield,1992-12-23,23.0,Ghana,Without Club,1.78,left,2017-01-13,Wolverhampton Wanderers,2021-06-30,8000000.0,https://www.transfermarkt.com/jeffrey-schlupp/profil/spieler/157506,Jeffrey Schlupp,1383,Jeffrey Schlupp,0.025740208231170705,3.8313239,3.8570640703069765,0.2510020002368965,1.0,0.0650759219088937,-2.8570640703069765,25.0,1.6268980477223427,49.0,3.1887201735357915,504.0,32.79826464208243,34.0,2.212581344902386,2.0,0.1301518438177874,15.0,0.9761388286334056,1.1596604101359844,0.07546597029084497
3,45,5084,5085,Premier League,Europe,England,2016,Swansea City,17,Modou Barrow,Left Winger,1992-10-13,23.0,The Gambia,Manchester United,1.76,left,2014-09-01,Newcastle United,0,3000000.0,https://www.transfermarkt.com/modou-barrow/profil/spieler/189070,Modou Barrow,762,Modou Barrow,0.0,1.4133269,1.4133268594741821,0.1669283692292341,1.0,0.11811023622047244,-0.41332685947418213,12.0,1.4173228346456692,51.0,6.023622047244095,316.0,37.322834645669296,25.0,2.952755905511811,3.0,0.3543307086614173,12.0,1.4173228346456692,1.9786254943403567,0.23369592452838858
4,55,5232,5233,Premier League,Europe,England,2016,Sunderland AFC,9,Fabio Borini,Left Winger,1991-03-29,25.0,Italy,Sunderland AFC,1.8,right,2015-08-31,Sunderland AFC U23,0,5000000.0,https://www.transfermarkt.com/fabio-borini/profil/spieler/96754,Fabio Borini,1913,Fabio Borini,0.06944858802903081,7.6947064,7.764155028000955,0.365276504192413,5.0,0.23523261892315733,-2.764155028000955,49.0,2.305279665446942,40.0,1.8818609513852587,559.0,26.299006795608992,26.0,1.2232096184004182,2.0,0.09409304756926293,15.0,0.7056978567694719,1.6606609555942742,0.07812832514557484
5,62,5307,5308,Premier League,Europe,England,2016,Burnley FC,12,Robbie Brady,Left Midfield,1992-01-14,24.0,Ireland,Burnley FC,1.76,left,2017-01-31,Norwich City,2021-06-30,10000000.0,https://www.transfermarkt.com/robbie-brady/profil/spieler/128229,Robert Brady,2996,Robert Brady,0.04407360431713208,10.158117,10.202190898628656,0.3064743594381105,3.0,0.09012016021361817,-7.202190898628656,54.0,1.622162883845127,79.0,2.3731642189586117,1129.0,33.91522029372497,114.0,3.4245660881174897,2.0,0.06008010680907877,51.0,1.5320427236315086,4.287703145664972,0.1288028314785873
6,67,12335,12336,Ligue 1,Europe,France,2016,Paris Saint-Germain,-,Jesé,Left Winger,1993-02-26,23.0,Spain,Paris Saint-Germain,1.78,right,2016-08-08,FC Paris Saint-Germain B,2021-06-30,7500000.0,https://www.transfermarkt.com/jese/profil/spieler/134936,Jesé Rodríguez Ruiz,819,Jesé Rodríguez Ruiz,0.0,2.945325,2.9453248977661133,0.3236620766775949,5.0,0.5494505494505495,2.0546751022338867,21.0,2.3076923076923075,33.0,3.626373626373627,407.0,44.72527472527473,41.0,4.5054945054945055,6.0,0.6593406593406593,20.0,2.197802197802198,1.3241755143782015,0.14551379278881335
7,82,12527,12528,Ligue 1,Europe,France,2016,FC Girondins Bordeaux,10,Thomas Touré,Left Winger,1993-12-27,22.0,Cote d'Ivoire,Pyramids FC,1.75,right,2014-07-01,Sport Club Corinthians Paulista,0,1500000.0,https://www.transfermarkt.com/thomas-toure/profil/spieler/187392,Thomas Touré,829,Thomas Touré,0.01909506993237122,4.9897323,5.008827335404783,0.5437810134938847,2.0,0.21712907117008443,-3.008827335404783,29.0,3.1483715319662244,53.0,5.753920386007238,423.0,45.92279855247286,25.0,2.7141133896260556,1.0,0.10856453558504221,14.0,1.519903498190591,1.5611135555694118,0.1694815681559072
8,83,12568,12569,Ligue 1,Europe,France,2016,LOSC Lille,-,Ricardo Kishna,Left Winger,1995-01-04,21.0,Netherlands,Stade Rennais FC,1.87,left,2017-01-31,Ajax Amsterdam,0,3000000.0,https://www.transfermarkt.com/ricardo-kishna/profil/spieler/159026,Ricardo Kishna,564,Ricardo Kishna,0.0062966453350600275,1.9635137,1.969810377291542,0.31433144318482054,2.0,0.3191489361702128,0.03018962270845793,9.0,1.4361702127659572,17.0,2.712765957446808,224.0,35.74468085106383,26.0,4.148936170212766,0.0,0.0,11.0,1.7553191489361701,2.0601760958770448,0.32875150466123054
9,84,12569,12570,Ligue 1,Europe,France,2016,LOSC Lille,-,Lenny Nangis,Left Winger,1994-03-24,22.0,Guadeloupe,OGC Nice,1.72,right,2015-08-31,OGC Nice,0,1750000.0,https://www.transfermarkt.com/lenny-nangis/profil/spieler/157500,Lenny Nangis,503,Lenny Nangis,0.011625023162464472,1.7619116,1.7735366537929576,0.3173326020703105,0.0,0.0,0.0,10.0,1.7892644135188867,19.0,3.3996023856858844,166.0,29.70178926441352,12.0,2.147117296222664,2.0,0.3578528827037773,2.0,0.3578528827037773,0.14214487373828888,0.025433476414405565
10,88,12614,12615,Ligue 1,Europe,France,2016,Stade Rennais FC,-,Paul-Georges Ntep,Left Winger,1992-07-29,23.0,Cameroon,Amiens SC,1.8,right,2014-01-29,FC Stade Rennes B,0,8000000.0,https://www.transfermarkt.com/paul-georges-ntep/profil/spieler/148955,Paul-Georges Ntep de Madiba,934,Paul-Georges Ntep de Madiba,0.0,3.7210755,3.7210755348205566,0.35856188237028913,2.0,0.19271948608137046,-1.7210755348205566,21.0,2.02355460385439,65.0,6.263383297644539,398.0,38.35117773019272,26.0,2.5053533190578157,3.0,0.2890792291220557,17.0,1.6381156316916488,3.210074336300435,0.3093219381874081
11,117,12943,12944,Ligue 1,Europe,France,2016,EA Guingamp,10,Nicolas Benezet,Left Winger,1991-02-24,25.0,France,FC Girondins Bordeaux,1.7,right,2015-07-03,KSC Lokeren,0,2000000.0,https://www.transfermarkt.com/nicolas-benezet/profil/spieler/164230,Nicolas Benezet,1246,Nicolas Benezet,0.0,6.2202363,6.220236301422119,0.4492947569245512,4.0,0.28892455858747995,-2.220236301422119,23.0,1.6613162118780098,53.0,3.828250401284109,489.0,35.321027287319424,62.0,4.478330658105939,4.0,0.28892455858747995,35.0,2.528089887640449,4.518532275046539,0.3263787357577757
12,140,19533,19534,Bundesliga,Europe,Germany,2016,Hamburger SV,17,Filip Kostic,Left Midfield,1992-11-01,23.0,Serbia,Birmingham City,1.84,left,2016-07-25,FC Barcelona,2021-06-30,8000000.0,https://www.transfermarkt.com/filip-kostic/profil/spieler/161011,Filip Kostić,2608,Filip Kostić,0.010417562196912665,8.5170355,8.527453046510878,0.29427560359891836,5.0,0.17254601226993865,-3.527453046510878,47.0,1.6219325153374233,88.0,3.03680981595092,975.0,33.64647239263803,162.0,5.590490797546012,5.0,0.17254601226993865,71.0,2.4501533742331287,11.125003861517792,0.3839150105585128
13,145,19574,19575,Bundesliga,Europe,Germany,2016,1.FSV Mainz 05,17,Jairo Samperio,Left Winger,1993-07-11,22.0,Spain,FC Cartagena,1.73,right,2014-08-29,Eintracht Braunschweig,0,4000000.0,https://www.transfermarkt.com/jairo-samperio/profil/spieler/171167,Jairo Samperio Bustara,2312,Jairo Samperio Bustara,0.027422458796299003,9.669032,9.696454555659091,0.3774571410074906,7.0,0.27249134948096887,-2.6964545556590913,39.0,1.5181660899653981,106.0,4.126297577854672,819.0,31.88148788927336,25.0,0.9731833910034602,4.0,0.15570934256055363,23.0,0.8953287197231834,5.6293807562126945,0.2191367941432277
14,148,19640,19641,Bundesliga,Europe,Germany,2016,TSG 1899 Hoffenheim,17,Steven Zuber,Left Midfield,1991-08-17,24.0,Switzerland,1.FC Magdeburg,1.82,right,2014-08-14,TSG 1899 Hoffenheim U19,0,5000000.0,https://www.transfermarkt.com/steven-zuber/profil/spieler/68033,Steven Zuber,574,Steven Zuber,0.026417474217149794,2.329267,2.3556844992110464,0.369358196740408,2.0,0.313588850174216,-0.3556844992110464,17.0,2.6655052264808363,22.0,3.449477351916376,215.0,33.71080139372822,11.0,1.724738675958188,0.0,0.0,7.0,1.0975609756097562,0.7587021180381435,0.11896026241016186
15,149,19644,19645,Bundesliga,Europe,Germany,2016,TSG 1899 Hoffenheim,30,Philipp Ochs,Left Winger,1997-04-17,19.0,Germany,TSG 1899 Hoffenheim,1.75,left,2015-07-01,SSC Napoli,0,1000000.0,https://www.transfermarkt.com/philipp-ochs/profil/spieler/207592,Philipp Ochs,559,Philipp Ochs,0.0,2.7023473,2.7023472785949707,0.43508274610652475,0.0,0.0,0.0,5.0,0.8050089445438282,6.0,0.9660107334525938,179.0,28.81932021466905,2.0,0.3220035778175313,1.0,0.16100178890876565,6.0,0.9660107334525938,0.805985102429986,0.12976504332504246
16,157,19822,19823,Bundesliga,Europe,Germany,2016,Eintracht Frankfurt,-,Ante Rebic,Left Winger,1993-09-21,22.0,Croatia,1. FC Köln,1.85,right,2016-07-05,Everton FC,0,2500000.0,https://www.transfermarkt.com/ante-rebic/profil/spieler/187587,Ante Rebić,755,Ante Rebić,0.6005836767032382,3.9622235,4.562807206518912,0.5439107928300689,1.0,0.11920529801324503,-3.5628072065189116,17.0,2.0264900662251657,40.0,4.768211920529802,336.0,40.05298013245033,25.0,2.980132450331126,0.0,0.0,4.0,0.4768211920529801,0.18496746197342873,0.022049101427296137
17,179,27827,27828,Serie A,Europe,Italy,2016,AC Milan,11,Lucas Ocampos,Left Winger,1994-07-11,21.0,Argentina,Al-Ahli Jeddah,1.87,both,2017-01-30,Milan Primavera,0,5500000.0,https://www.transfermarkt.com/lucas-ocampos/profil/spieler/189441,Lucas Ariel Ocampos,756,Lucas Ariel Ocampos,0.031197395928196824,3.544865,3.5760622888877918,0.42572170105807045,1.0,0.11904761904761904,-2.5760622888877918,22.0,2.619047619047619,38.0,4.523809523809524,304.0,36.19047619047619,13.0,1.5476190476190474,0.0,0.0,6.0,0.7142857142857142,0.09280768036842346,0.011048533377193269
18,180,27863,27864,Serie A,Europe,Italy,2016,ACF Fiorentina,16,Cristian Tello,Left Winger,1991-08-11,24.0,Spain,Club Deportivo Maldonado,1.78,both,2016-08-16,FC Viitorul Constanta,0,8000000.0,https://www.transfermarkt.com/cristian-tello/profil/spieler/141834,Cristian Tello Herrera,1086,Cristian Tello Herrera,0.0,5.579415,5.5794148445129395,0.4623824456778679,2.0,0.16574585635359115,-3.5794148445129395,22.0,1.8232044198895028,59.0,4.889502762430939,524.0,43.425414364640886,42.0,3.480662983425414,4.0,0.3314917127071823,18.0,1.4917127071823204,1.2263331340842936,0.10162981774179229
19,190,28003,28004,Serie A,Europe,Italy,2016,Genoa CFC,22,Darko Lazovic,Left Midfield,1990-09-15,25.0,Serbia,Brescia Calcio,1.81,right,2015-07-01,Chievo Verona,0,2500000.0,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411,Darko Lazović,645,Darko Lazović,0.0,2.8652897,2.8652896881103516,0.39980786345725833,0.0,0.0,0.0,17.0,2.3720930232558137,31.0,4.325581395348837,289.0,40.32558139534884,28.0,3.9069767441860463,2.0,0.27906976744186046,11.0,1.5348837209302326,1.3905540217147614,0.19403079372764112
20,214,28455,28456,Serie A,Europe,Italy,2016,Palermo FC,8,Aleksandar Trajkovski,Left Winger,1992-09-05,23.0,North Macedonia,SSD Dattilo 1980,1.79,right,2015-07-01,AIK,0,900000.0,https://www.transfermarkt.com/aleksandar-trajkovski/profil/spieler/142920,Aleksandar Trajkovski,1634,Aleksandar Trajkovski,0.05497000738311705,4.5518117,4.606781702481994,0.2537395062566582,3.0,0.16523867809057527,-1.6067817024819941,39.0,2.1481028151774786,47.0,2.5887392900856794,594.0,32.71725826193391,46.0,2.533659730722154,1.0,0.055079559363525085,22.0,1.211750305997552,2.1978946631772676,0.12105906957524729
21,232,35901,35902,LaLiga,Europe,Spain,2016,Valencia CF,11,Zakaria Bakkali,Left Winger,1996-01-26,20.0,Belgium,FC Cartagena,1.68,right,2015-07-06,SL Benfica,0,2000000.0,https://www.transfermarkt.com/zakaria-bakkali/profil/spieler/203378,Zakaria Bakkali,552,Zakaria Bakkali,0.0,2.121669,2.121669054031372,0.3459243022877237,1.0,0.16304347826086957,-1.121669054031372,13.0,2.119565217391304,31.0,5.054347826086956,250.0,40.76086956521739,30.0,4.891304347826087,3.0,0.4891304347826087,9.0,1.467391304347826,1.2297825942423777,0.2005080316699529
22,239,35980,35981,LaLiga,Europe,Spain,2016,Villarreal CF,7,Denis Cheryshev,Left Winger,1990-12-26,25.0,Russia,UD Almería,1.79,left,2016-07-01,Club Atlético Huracán,2021-06-30,3000000.0,https://www.transfermarkt.com/denis-cheryshev/profil/spieler/98322,Denis Cheryshev,515,Denis Cheryshev,0.007816920390069234,4.330285,4.338101992716729,0.7581149113485547,3.0,0.5242718446601942,-1.3381019927167292,14.0,2.4466019417475726,19.0,3.320388349514563,231.0,40.36893203883495,10.0,1.7475728155339805,1.0,0.17475728155339806,3.0,0.5242718446601942,0.05045162903935159,0.008816789540857559
23,245,36087,36088,LaLiga,Europe,Spain,2016,Celta de Vigo,7,Theo Bongonda,Left Winger,1995-11-20,20.0,Belgium,KRC Genk,1.77,left,2015-01-09,Gimnàstic de Tarragona,0,3000000.0,https://www.transfermarkt.com/theo-bongonda/profil/spieler/280701,Théo Bongonda MbulOfeko Batombo,1198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,267,36297,36298,LaLiga,Europe,Spain,2016,UD Las Palmas,9,Marko Livaja,Left Winger,1993-08-26,22.0,Croatia,UD Las Palmas,1.82,right,2016-07-15,Levante UD,0,2500000.0,https://www.transfermarkt.com/marko-livaja/profil/spieler/95438,Marko Livaja,591,Marko Livaja,0.0,3.6046727,3.60467267036438,0.5489349244209716,1.0,0.15228426395939085,-2.60467267036438,16.0,2.4365482233502536,20.0,3.045685279187817,215.0,32.74111675126904,12.0,1.8274111675126903,0.0,0.0,5.0,0.7614213197969543,0.8359810908380115,0.12730676510223524
